State,Date,Day,New_Case,Total_Case
Perlis,29/03/2020,Sunday,0,10
Kedah,29/03/2020,Sunday,1,75
PPinang,29/03/2020,Sunday,1,87
Perak,29/03/2020,Sunday,11,176
Selangor,29/03/2020,Sunday,33,612
NSembilan,29/03/2020,Sunday,9,162
Melaka,29/03/2020,Sunday,1,43
Johor,29/03/2020,Sunday,24,309
Pahang,29/03/2020,Sunday,12,96
Terengganu,29/03/2020,Sunday,2,47
Kelantan,29/03/2020,Sunday,15,123
Sabah,29/03/2020,Sunday,0,197
Sarawak,29/03/2020,Sunday,11,129
WPKL,29/03/2020,Sunday,28,372
WPP,29/03/2020,Sunday,2,22
WPL,29/03/2020,Sunday,0,10
Perlis,30/03/2020,Monday,1,11
Kedah,30/03/2020,Monday,2,77
PPinang,30/03/2020,Monday,1,88
Perak,30/03/2020,Monday,8,184
Selangor,30/03/2020,Monday,60,672
NSembilan,30/03/2020,Monday,10,172
Melaka,30/03/2020,Monday,7,50
Johor,30/03/2020,Monday,24,333
Pahang,30/03/2020,Monday,3,99
Terengganu,30/03/2020,Monday,0,47
Kelantan,30/03/2020,Monday,4,127
Sabah,30/03/2020,Monday,4,201
Sarawak,30/03/2020,Monday,6,135
WPKL,30/03/2020,Monday,24,396
WPP,30/03/2020,Monday,2,24
WPL,30/03/2020,Monday,0,10
Perlis,31/03/2020,Tuesday,1,12
Kedah,31/03/2020,Tuesday,0,77
PPinang,31/03/2020,Tuesday,6,94
Perak,31/03/2020,Tuesday,5,189
Selangor,31/03/2020,Tuesday,32,704
NSembilan,31/03/2020,Tuesday,9,181
Melaka,31/03/2020,Tuesday,2,52
Johor,31/03/2020,Tuesday,16,349
Pahang,31/03/2020,Tuesday,3,102
Terengganu,31/03/2020,Tuesday,0,47
Kelantan,31/03/2020,Tuesday,4,131
Sabah,31/03/2020,Tuesday,5,206
Sarawak,31/03/2020,Tuesday,21,156
WPKL,31/03/2020,Tuesday,34,430
WPP,31/03/2020,Tuesday,2,26
WPL,31/03/2020,Tuesday,0,10
